Ticket,Fare
A/5 21171,7
PC 17599,71
STON/O2. 3101282,7
113803,53
373450,8
17463,51
349909,21
347742,11
237736,30
PP 9549,16
113783,26
A/5. 2151,8
347082,31
350406,7
248706,16
382652,29
345763,18
239865,26
248698,13
330923,8
113788,35
347077,31
19950,263
PC 17601,27
C.A. 24579,10
PC 17604,82
113789,52
A./5. 2152,8
2651,11
7546,9
11668,21
SC/Paris 2123,41
330958,7
349237,17
3101295,39
A/4. 39886,7
PC 17572,76
2926,26
113509,61
C.A. 31026,10
2697,7
C.A. 34651,27
CA 2144,46
2669,7
113572,80
36973,83
347088,27
C.A. 29395,10
S.P. 3464,8
315151,8
C.A. 33111,10
S.O.C. 14879,73
2680,14
1601,56
348123,7
248738,29
364516,12
345767,9
345779,9
113059,47
SO/C 14885,10
3101278,15
W./C. 6608,34
343275,8
343276,8
347466,7
W.E.P. 5734,61
C.A. 2315,20
364500,7
PC 17754,34
PC 17759,63
231919,23
244367,26
349245,7
35281,77
7540,8
3101276,7
349207,7
343120,7
349249,7
110465,52
2665,14
324669,8
4136,9
2627,14
STON/O 2. 3101294,7
370369,7
PC 17558,247
S.O.C. 14879,73
27267,13
C 17369,7
347061,6
349241,7
SOTON/O.Q. 3101307,7
A/5. 3337,14
228414,26
C.A. 29178,13
SC/PARIS 2133,15
11752,26
7534,9
PC 17593,79
347081,7
STON/O2. 3101279,15
365222,6
231945,11
C.A. 33112,36
230080,26
244310,13
S.O.P. 1166,12
113776,66
A.5. 11206,8
A/5. 851,14
PC 17597,61
35851,7
SOTON/OQ 392090,8
371362,16
C.A. 33595,15
347068,7
315093,8
363291,20
1601,56
111240,33
STON/O 2. 3101280,7
17764,30
350404,7
PC 17595,28
250653,13
LINE,0
230136,39
315153,22
111428,26
364849,15
349247,7
234604,13
28424,13
350046,7
PC 17610,27
PC 17569,146
4579,8
248747,13
345770,9
3101264,6
2628,7
A/5 3540,8
347054,10
2699,18
367231,7
112277,31
SOTON/O.Q. 3101311,7
F.C.C. 13528,21
A/5 21174,7
250646,13
35273,113
STON/O2. 3101283,7
243847,27
11813,76
SOTON/OQ 392089,8
220367,13
21440,8
19943,90
PP 4348,9
SW/PP 751,10
A/5 21173,7
236171,13
347067,7
237442,13
C.A. 29566,10
26707,26
C.A. 31921,26
28665,10
SCO/W 1585,12
W./C. 14263,10
STON/O 2. 3101275,7
19928,90
347071,7
250649,14
11751,52
244252,26
113514,26
A/5. 3336,16
370129,20
2650,15
110152,86
PC 17755,512
230433,26
110413,79
112059,0
C.A. 17248,10
347083,7
PC 17582,153
PC 17760,135
LINE,0
250644,19
PC 17596,29
13502,77
347073,7
C.A. 2673,20
336439,7
347464,7
345778,9
A/5. 10482,8
349239,8
345774,9
349206,7
237798,13
370373,7
19877,78
11967,91
SC/Paris 2163,12
349236,8
349233,7
2693,7
113781,151
PC 17758,108
P/PP 3381,24
PC 17485,56
11767,83
PC 17608,262
250651,26
349243,7
F.C.C. 13529,26
347470,7
29011,14
36928,164
16966,134
A/5 21172,7
349219,7
234818,12
PC 17760,135
345364,6
28551,13
111361,57
113043,28
16966,134
7598,8
113784,35
248740,13
244361,13
229236,13
C.A. 37671,15
315088,8
7267,9
2695,7
345783,9
113505,55
237671,13
SC/PARIS 2167,27
2691,14
SOTON/O.Q. 3101310,7
C 7076,7
110813,75
PC 17477,69
11765,55
3101267,6
323951,8
PC 17760,135
C 7077,7
113503,211
2648,4
PC 17757,227
2653,15
STON/O 2. 3101293,7
S.O.C. 14879,73
27849,13
SC 1748,12
350034,7
28403,26
244278,10
240929,12
STON/O 2. 3101289,7
341826,8
315096,8
28664,21
347064,7
29106,18
312992,7
STON/O 2. 3101269,7
28220,32
250652,13
28228,13
345773,24
A/5. 13032,7
315082,7
347080,14
2003,26
250655,26
SOTON/O.Q. 392078,8
110564,26
SC/AH 3085,26
STON/O 2. 3101274,7
13507,55
C.A. 18723,10
345769,9
347076,7
230434,13
33638,81
113794,26
2666,19
113786,30
113051,27
17453,89
349240,7
13509,26
F.C.C. 13531,10
19952,26
364506,8
111320,38
234360,13
SOTON/O.Q. 3101306,7
113792,26
315089,8
SC/AH Basle 541,13
7553,9
31027,21
350060,7
3101298,12
A/5 3594,8
4134,9
11771,29
A.5. 18509,8
SOTON/OQ 3101317,7
113787,30
PC 17609,49
A/4 45380,8
36947,78
350035,7
364846,7
4135,9
110152,86
26360,26
1601,56
382651,7
PC 17473,26
PC 17603,59
349209,7
36967,34
C.A. 34260,10
226875,26
349242,7
12749,93
349252,7
367232,7
W./C. 14258,10
3101296,7
29104,11
113050,26
PC 17761,106
13568,49
WE/P 5735,71
2908,26
PC 17761,106
693,26
17421,110
244358,26
2620,7
347085,7
113807,26
11755,39
345572,17
349251,7
218629,13
349205,7
350417,7
11769,51
PC 17474,26
A/4. 20589,8
358585,14
243880,13
237789,30
28403,26
13049,40
237565,15
13567,79
14973,8
STON/O 2. 3101273,7
36947,78
A/5 3902,7
SC/AH 29037,26
364511,8
111426,26
349910,15
349246,7
113804,30
PC 17582,153
364512,8
220845,65
31028,10
2659,14
11753,52
350029,7
54636,16
36963,32
219533,12
13502,77
349224,7
27042,30
347743,7
13214,30
237668,13
STON/O 2. 3101292,7
350050,7
PC 17477,69
349231,7
13213,35
8475,8
365226,6
29751,13
PC 17611,133
2623,7
5727,25
STON/O 2. 3101285,7
234686,13
A/5 3536,8
F.C. 12750,52
C.A. 24580,10
244270,13
349912,7
342826,8
4138,9
PC 17755,512
PC 17572,76
6563,9
349228,10
350036,7
24160,211
17474,57
349256,13
2672,7
113800,26
363592,8
348121,7
PC 17757,227
PC 17475,26
36864,7
PC 17476,26
113781,151
PC 17482,49
19996,52
250647,13
348124,7
PC 17757,227
34218,10
12233,13
250643,13
113806,53
236853,26
STON/O2. 3101271,7
2699,18
28425,13
233639,13
PC 17755,512
19877,78
376566,16
STON/O 2. 3101288,7
250648,13
113773,53
335097,7
29103,23
392096,12
345780,9
349204,7
350042,7
29108,11
363294,8
110152,86
SOTON/O2 3101272,7
2663,7
347074,7
13502,77
364850,7
8471,8
345781,9
S.O./P.P. 3,10
347078,7
364516,12
24160,211
2687,7
113501,30
374887,7
3101265,7
PC 17593,79
239865,26
349203,7
28213,13
17465,25
349244,8
2685,7
250647,13
2625,8
347089,6
347087,7
3474,7
A/4 48871,24
28206,10
364499,8
STON/O2. 3101290,7
S.C./PARIS 2079,37
C 7075,6
315098,8
19972,0
113572,80
347468,7
2223,8
PC 17756,83
315097,8
1601,56
SOTON/O2 3101287,7
S.O./P.P. 3,10
113798,31
2683,6
315090,8
C.A. 5547,7
349213,7
2678,15
PC 17592,39
392091,9
28134,11
17466,25
233866,13
236852,13
SC/PARIS 2149,13
PC 17590,50
349248,7
345765,9
2667,7
349212,7
11767,83
230433,26
349257,7
7552,10
C.A./SOTON 34068,10
SOTON/OQ 392076,7
211536,13
111369,30
370376,7
